ID,X3,X4,X5,X6,X11,X12,X13,X14,X15,Y
573,16.7,4.2,421,359,2.5,55.6,1.91,1.57,9.96,2.7
574,16.8,4.4,464,366,2.5,48.9,1.49,0.84,8.76,4
575,17.9,4.9,464,368,3.5,49.8,0.66,1.42,9.01,4.6
576,21.2,3.7,335,359,4.5,63.3,0.71,2.56,8.67,6.2
577,15.2,4.6,469,371,2.5,40.4,0.72,1.49,9.77,4.7
578,16.4,2.1,304,300,2.5,39.7,1.69,0.81,9.98,2.6
579,16.5,2.7,303,300,2.5,39.9,1.69,0.81,9.98,2.3
580,17.1,2.8,396,280,3.5,51.1,0.93,1.58,6.15,2.4
581,23.9,4.15,406,321,2.7,41.1,0.97,1.41,7.21,3.45
582,17.5,4.7,463,368,2.5,43.4,0.66,1.42,9.01,4.7
583,17.7,3.37,282,353,3,47,1.05,1.7,11.9,5.81
584,18.2,4.7,462,368,3,39.6,0.66,1.42,9.01,4.1
585,15.8,2.1,375,281,4,55.7,0.93,1.58,6.15,3.1
586,28.7,2.7,291,380,3.5,52.5,0.99,1.09,11.11,5.5
587,26.6,2.4,402,273,3.5,36.6,0.96,1.18,6.14,3.3
588,15.4,2.5,323,369,2,31,1.02,1.06,12.3,5.6
589,16.3,3.4,473,371,2.5,32.4,0.72,1.49,9.77,4.3
590,16.9,3.9,354,346,3.3,46.7,1.32,1.84,8.56,5.3
591,17.3,4.7,416,372,2.5,42.2,1.89,1.22,9.11,3.9
592,21.2,3.2,399,274,4,61.7,0.93,1.58,6.15,2.5
593,14.1,2.2,370,273,3,29.6,0.96,1.18,6.14,3.3
594,16.1,2.2,377,273,2.5,29.2,0.96,1.18,6.14,3.6
595,16.9,4.7,425,372,2.5,51,1.89,1.22,9.11,4.8
596,15,2.95,350,346,3,45.7,1.32,1.84,8.56,4.95
597,24.6,3.7,428,372,3,44,1.89,1.22,9.11,3.6
598,16.1,3.8,306,352,3,48.2,1.53,2.27,12.85,5.5
599,18.2,4.2,472,363,2.5,41,1.67,1.09,9.02,3.6
600,14.4,1.8,322,375,2,28.2,2.17,2.52,8.19,3.4
601,16.1,4.3,289,362,3,39.2,1.29,1.54,11.22,8.5
602,20.2,5.02,285,353,3,44,1.05,1.7,11.9,8.71
603,17.3,2.68,281,353,3,39,1.05,1.7,11.9,4.68
604,15.1,1.7,321,343,3,43.1,1.98,1.28,9.8,6.1
605,17.1,3.2,325,369,3,38.5,1.02,1.04,12.31,6
606,20,2.98,322,337,2.5,32.9,1.18,1.52,10.82,5.253
607,29.5,3.6,440,371,3,41.6,0.89,1.14,7.35,5.8
608,16.5,3.75,351,346,3.3,47.1,1.32,1.84,8.56,5.1
609,16.2,3.3,393,280,3,43.3,0.93,1.58,6.09,3.3
610,15.9,2.3,317,375,4.5,65.1,0.72,2.6,8.92,5.2
611,15.7,3.2,326,375,2,33.6,2.17,2.52,8.19,5
612,15.6,2.64,315,362,2.5,34.8,0.93,1.04,10.75,6.3185
613,23.8,2.7,304,387,4,33.6,1.02,0.82,11.95,6.7
614,25.2,4.7,462,366,3.5,57.4,1.49,0.84,8.76,3.8
615,18.2,3.3,325,356,3.3,46.3,3.59,2.56,9.11,5
616,17.8,2.6,396,280,3.5,53.1,0.93,1.58,6.09,3.4
617,29.2,4.7,312,354,3,46.4,0.86,1.53,13.78,8.7
618,16.5,3.1,287,379,3,40,0.99,1.09,11.11,7.2
619,16.3,3.69,285,353,3,42,1.05,1.7,11.9,7.12
620,17.2,4,422,359,2.5,53.8,1.91,1.57,9.96,3.2
621,16.5,2.9,375,280,4,56.1,0.93,1.58,6.15,2.8
622,13.4,5.7,461,368,2.5,40.4,0.66,1.42,9.01,4.7
623,15.3,3.47,323,366,2,30.8,0.99,1.07,10.15,5.41
624,15.9,3.1,307,364,3,41.8,1.15,0.98,11.57,7
625,25.2,2.7,333,359,3,43,0.71,2.56,8.67,4
626,13.9,2.5,375,280,3,43.5,0.93,1.58,6.09,3
627,14.7,2.2,326,359,3.5,22.2,0.96,2.17,9.29,3.8
628,16.1,2.7,323,368,3,36.5,1.02,1.06,12.3,6.8
629,13.1,2.37,323,350,2,24,1.18,1.54,10.82,5.011
630,16.8,3.07,284,353,3,45,1.05,1.7,11.9,6.77
631,19.3,4,459,368,3,40.8,0.66,1.42,9.01,4
632,17.6,2.9,336,351,3.5,29.4,2.1,2.15,8.28,4.1
633,24.9,4.9,302,370,2.7,40.9,1.68,2.1,13.38,6.9
634,23.1,4.7,468,366,3,52.6,1.49,0.84,8.76,3.4
