ID,X3,X4,X5,X6,X11,X12,X13,X14,X15,Y
997,16.1,3.2,324,369,3,31,1.02,1.06,12.3,7.9
998,19.7,4.7,307,354,3,41.8,0.86,1.53,13.78,9.9
999,15.3,2,322,360,3,22.6,0.96,2.13,9.32,4.1
1000,16,2.1,323,360,4,23.8,0.96,2.13,9.32,4.2
1001,17.9,3,314,414,2.5,33.3,1.59,1.09,8.54,5.4
1002,21.3,4.5,461,368,3,38.8,0.66,1.42,9.01,4.2
1003,25.2,3.4,457,368,2.5,36.2,0.66,1.42,9.01,4.3
1004,14.8,1.7,318,375,3.5,51.5,0.72,2.6,8.92,4.6
1005,16.3,3.68,274,374,3.5,43.8,1.76,2.76,11.06,7.5
1006,23.4,2.1,323,371,3,34.6,2.15,2.51,8.28,3
1007,27.2,3.5,310,354,3.5,44,0.86,1.53,13.78,6.2
1008,15.3,2.5,287,379,3,38.5,0.99,1.09,11.11,6.2
1009,17.6,6.2,420,372,3,47.8,1.89,1.22,9.11,6
1010,16.6,3.2,338,349,2.5,29.6,1.43,1.08,11.78,5.5
1011,25.8,2.8,304,300,2.7,40.5,1.69,0.81,9.98,2.2
1012,17,3.4,307,364,3.5,39.4,1.15,0.98,11.57,6.9
1013,18.2,4.2,418,359,2.5,55.2,1.91,1.57,9.96,3.8
1014,25.6,4.3,327,367,3.5,49.8,1.02,1.07,12.31,5.7
1015,19.5,3.3,282,353,3,44.7,2.39,2.98,10.05,6.15
1016,16.2,4.1,303,388,3.5,30.1,1.02,0.84,11.96,8.8
1017,18.2,2.95,324,356,3,43.1,3.59,2.56,9.11,5.05
1018,19.4,2.9,313,414,2.7,28.4,1.59,1.09,8.54,6.4
1019,17.5,2.4,318,362,3,40.2,0.93,1.04,10.75,5.8439
1020,15.7,1.3,325,372,2.5,26.6,0.96,2.13,9.32,3.7
1021,15.3,2.3,325,368,3.5,35,1.02,1.06,12.3,5.4
1022,20.2,3.3,319,343,3,42.9,1.98,1.28,9.8,4.2
1023,19.3,3.6,330,368,4,42,1.02,1.07,12.31,5.4
1024,14.8,5.2,460,219,2.5,50,1.49,0.84,8.76,2.5
1025,16.2,4.3,300,370,3.3,47.1,1.68,2.17,13.4,7.5
1026,24.6,4,426,372,3,49.2,1.89,1.22,9.11,3.6
1027,15.2,2.7,334,351,3,29.6,2.1,2.15,8.28,4.3
1028,14.8,4,460,368,3,40.4,0.66,1.42,9.01,4.1
1029,23.4,3.9,304,387,4,51.4,1.02,0.82,11.95,6.1
1030,23.6,3.3,307,354,3,46.2,0.86,1.53,13.78,5.5
1031,17.3,2.6,301,331,3,40,2.95,2.16,9.49,5.3
1032,15.2,2,393,273,3,33.2,0.96,1.18,6.14,2.5
1033,21.2,1.6,329,372,3,24.6,0.96,2.13,9.32,3.4
1034,12.8,5.7,457,368,2.5,35,0.66,1.42,9.01,3.8
1035,16.9,3.9,344,348,3,37,1.42,1.05,11.78,7.1
1036,12.8,5.5,459,368,2.5,40.6,0.66,1.42,9.01,5.6
1037,15.4,3.2,341,348,3.5,51.5,1.42,1.05,11.78,4.6
1038,15.6,2.2,375,278,3.5,51.3,0.93,1.58,6.04,3.1
1039,14.5,3.2,304,354,3,41.8,0.86,1.53,13.78,7
1040,21.1,3.3,376,280,4,58.7,0.93,1.58,6.15,2.9
1041,21,2.9,333,374,3,41.9,1.51,1.63,11.56,5.5
1042,22.1,3.7,299,331,3,38,2.95,2.16,9.49,5.6
1043,17.6,2.6,284,353,4,60.9,2.39,2.98,10.05,5.63
1044,24.5,3.2,370,355,3.5,48.9,1.34,1.83,8.27,3.95
1045,15.1,2,397,273,3,34.6,0.96,1.18,6.14,3.4
1046,18.5,6.4,461,366,2.5,50,1.49,0.84,8.76,4.2
1047,17.8,4.4,425,359,2.5,58.2,1.91,1.57,9.96,3.8
1048,20.4,3.9,288,379,3,42.5,0.99,1.09,11.11,8.6
1049,16.1,3.7,288,379,3,39.5,0.99,1.09,11.11,6.6
1050,23.1,4.5,461,366,2.5,45.8,1.49,0.84,8.76,3.4
1051,21.6,4.8,420,359,2.5,49.4,1.91,1.57,9.96,4.5
1052,15.9,2.8,305,364,3,37.6,1.15,0.98,11.57,6.9
1053,14.8,1.6,318,375,4,57.9,0.72,2.6,8.92,4.2
1054,22.6,2.8,319,371,3,35.8,2.15,2.51,8.28,3.8
1055,15,2.94,323,366,3,24.8,0.99,1.07,10.15,5.24
1056,15.9,2.2,374,273,2.5,29.8,0.96,1.18,6.14,3.1
1057,15.6,2.8,370,270,2.5,34.8,0.96,1.18,6.14,4.1
1058,18.5,3.85,282,373,3,46.4,1.76,2.76,11.06,6.8
1059,19.6,4.3,298,370,3.3,47.1,1.68,2.17,13.4,7
1060,19.7,6.6,464,219,3,54.8,1.49,0.84,8.76,2.8
1061,18.6,5.4,421,359,2.5,56.6,1.91,1.57,9.96,4.6
1062,14.5,3.7,320,343,2.7,41.3,1.98,1.28,9.8,8.3
1063,15,3.6,312,414,2.3,30.6,1.59,1.09,8.54,7.6
1064,15.4,1.4,323,372,3,25.2,0.96,2.13,9.32,3.3
1065,16.2,2.9,468,371,2.5,32,0.72,1.49,9.77,3.9
1066,15.8,1.9,325,372,3.5,30.8,0.96,2.13,9.32,3.4
1067,19.2,4.2,331,374,3,42.4,1.51,1.63,11.56,6.8
1068,17.1,3,283,353,3.5,52.3,2.39,2.98,10.05,5.63
1069,17.3,3.3,307,354,4,42.2,0.86,1.53,13.78,6.7
1070,15.4,3.6,320,343,2.5,40.3,1.98,1.28,9.8,6.8
1071,17.5,3.5,319,343,3,42.1,1.98,1.28,9.8,7.7
1072,15.6,2.94,324,338,3,40.6,1.18,1.54,10.82,5.157
1073,19.3,2.8,299,331,3,33,2.95,2.16,9.49,3.9
1074,23.5,3.3,327,367,4,40.6,1.02,1.07,12.31,6.1
1075,25.6,4.3,291,361,3.5,44.6,1.29,1.54,11.22,6.82
1076,16.5,3.1,318,343,2.5,40.1,1.98,1.28,9.8,7.5
1077,13.4,5.1,461,368,4,49.6,0.66,1.42,9.01,3.6
1078,16.2,2.1,332,359,3.5,49.7,0.71,2.56,8.67,4.2
1079,18.9,3.9,471,363,2.5,43.4,1.67,1.09,9.02,3.8
1080,15.5,3,303,370,3,45.6,1.68,2.1,13.38,5.8
1081,16,2.4,376,278,3.5,50.6,0.93,1.58,6.04,2.8
1082,18.3,5.1,419,372,2.5,39.6,1.89,1.22,9.11,4.2
1083,20.9,4.05,371,355,4,56.1,1.34,1.83,8.27,4.25
1084,17.3,2.7,373,280,3,44.9,0.93,1.58,6.09,3.9
1085,18,2.6,308,364,3.5,44.4,1.15,0.98,11.57,5.1
1086,12.8,3.65,353,346,3.5,47.7,1.32,1.84,8.56,4.6
1087,17.3,4,422,359,2.5,48.6,1.91,1.57,9.96,3.7
1088,16.6,3.5,312,414,2.5,35.6,1.59,1.09,8.54,7.4
1089,15.8,3.4,305,388,3,31.1,1.02,0.84,11.96,7.5
1090,26.9,5.4,339,348,3.5,58,1.42,1.05,11.78,6.5
1091,18.3,2.2,317,414,3,30.2,1.59,1.09,8.54,4.5
1092,16.1,2.6,372,274,3,43.4,0.93,1.58,6.09,3.2
1093,16.2,4.2,364,299,3,46.1,1.61,1.19,10.43,5.6
1094,18.8,4.8,471,363,2.5,47.6,1.67,1.09,9.02,4
1095,16.6,1.5,303,300,2.7,41.1,1.69,0.81,9.98,1.8
1096,14.9,3,327,370,2.5,27.5,1.02,1.04,12.31,6.6
1097,14.4,1.9,320,343,2.7,41.1,1.98,1.28,9.8,4.5
1098,17.9,3.9,469,371,2.5,29.4,0.72,1.49,9.77,4.7
1099,28.5,3.46,289,354,4,51,1.05,1.7,11.9,5.34
1100,26.7,4.8,331,374,3.5,48.1,1.51,1.63,11.56,7.7
1101,18.9,4.1,439,371,2.5,40.2,0.89,1.14,7.35,4.7
1102,16.8,4.6,473,363,2.5,41,1.67,1.09,9.02,5.8
1103,18.8,4.2,284,353,3.5,49.9,2.39,2.98,10.05,8.1
1104,19.7,4.2,424,359,3,61.8,1.91,1.57,9.96,4
1105,14.1,2.7,324,375,2,29.4,2.17,2.52,8.19,3.8
1106,14.7,3.4,307,364,3,36.8,1.15,0.98,11.57,7
1107,23.4,3.7,291,361,3,45.6,1.29,1.54,11.22,6.09
1108,15.7,4.4,423,372,2.5,39.6,1.89,1.22,9.11,4.6
1109,14,3,321,343,3,45.1,1.98,1.28,9.8,4.9
1110,14.5,2.45,324,337,2,23.4,1.18,1.52,10.82,4.368
1111,17.2,3.75,324,349,2.5,29.9,1.18,1.52,10.82,5.959
1112,18.6,5.8,461,366,2.5,46.4,1.49,0.84,8.76,4.7
1113,21.2,2.2,328,372,3,27.6,0.96,2.13,9.32,3.9
1114,14.9,3,351,346,3.5,48.1,1.32,1.84,8.56,4.3
1115,19.9,2.9,325,367,3,43.8,1.02,1.07,12.31,4.6
1116,16.2,3.1,357,299,3,45.9,1.61,1.19,10.43,4.1
1117,15.6,2.5,327,370,2,24,1.02,1.04,12.31,5.1
1118,18.9,4.7,290,361,3.5,37.8,1.29,1.54,11.22,9.6
1119,18.2,4.6,298,366,3,50.2,0.81,1.84,14.3,7.9
1120,17.7,5.7,476,363,3,47,1.67,1.09,9.02,5.4
1121,19.7,3.8,327,368,3,43.4,1.02,1.07,12.31,6.5
1122,28,2.6,331,368,3.5,39.6,1.02,1.07,12.31,5.1
1123,13.9,3.2,303,388,3.5,34,1.02,0.84,11.96,6.6
1124,24,2.67,315,362,4.5,49,0.93,1.04,10.75,5.8509
1125,16.1,4.1,306,354,4,52,0.86,1.53,13.78,9.3
1126,15.8,3,395,281,3.5,51.1,0.93,1.58,6.15,3.2
1127,13.9,2.3,322,375,2,26.4,2.17,2.52,8.19,3.7
1128,19.1,3.8,306,352,3,46.4,1.53,2.27,12.85,5.5
1129,17.4,4,309,364,3.5,42,1.15,0.98,11.57,8.1
1130,16.7,4.6,305,352,2.5,47,1.53,2.27,12.85,6.4
1131,21.1,4.11,283,354,3.5,45,1.05,1.7,11.9,6.27
1132,25.2,2.67,324,362,4,40.8,0.93,1.04,10.75,6.0544
1133,15,3.19,325,350,2.5,30.2,1.18,1.54,10.82,5.403
1134,18.5,6.1,467,366,3.5,65.2,1.49,0.84,8.76,4.1
1135,19.4,4.1,424,359,2.5,55,1.91,1.57,9.96,2.9
1136,27,3.9,324,343,3,41.7,1.98,1.28,9.8,5.7
1137,19.2,6,461,366,2.5,56.4,1.49,0.84,8.76,5
1138,16.3,2.7,390,279,3.5,50.9,0.93,1.58,6.09,3
1139,18.2,1.4,324,372,3,30.6,0.96,2.13,9.32,2.8
1140,15.4,0.9,323,372,3,24.4,0.96,2.13,9.32,2.8
1141,17.8,2.8,283,353,3.5,53.3,2.39,2.98,10.05,6
1142,12.7,2.3,310,364,2.5,30.4,1.15,0.98,11.57,5.9
1143,14.5,3,327,368,2.5,28.5,1.02,1.06,12.3,6.5
1144,14.3,2.25,325,349,2.5,20,1.18,1.52,10.82,3.684
1145,17,3.1,301,331,2.7,41.5,2.95,2.16,9.49,5.3
1146,14.3,2.4,321,366,3,29.1,0.99,1.07,10.15,4.61
1147,17,3,299,373,4,59.9,1.8,2.54,8.43,5
1148,17.4,2.4,303,331,3,33.5,2.95,2.16,9.49,4
1149,22.6,3.2,303,331,3,38,2.95,2.16,9.49,5
1150,19.5,6,465,366,2.5,43.8,1.49,0.84,8.76,4.7
1151,17.1,3.75,351,346,3.3,46.9,1.32,1.84,8.56,5.15
1152,19.7,4.4,299,370,3,43.9,1.68,2.17,13.4,8.1
1153,15.5,3.41,310,365,2.5,40.3,2.46,3.13,10.22,6.222
1154,16.2,4.35,404,321,3.5,49,0.97,1.41,7.21,4.8
1155,26.6,5.1,296,370,3.3,46.5,1.68,2.1,13.38,7.6
1156,15.2,2.6,328,375,2.5,31,2.17,2.52,8.19,3.8
1157,19.5,2.2,304,300,3,42.1,1.69,0.81,9.98,2.4
1158,18.1,3.2,389,280,4,58.7,0.93,1.58,6.15,3.6
1159,12.8,4.4,463,368,2.5,35,0.66,1.42,9.01,4
1160,17.6,4.9,305,354,3,46.8,0.86,1.53,13.78,9.8
1161,17.9,4.2,422,359,2.5,51.6,1.91,1.57,9.96,3.9
1162,14.6,3,324,369,3,33,1.02,1.06,12.3,7.1
1163,16.6,3.1,405,321,3.7,54.9,0.97,1.41,7.21,3.1
1164,22.1,4.2,341,348,3,41.5,1.42,1.05,11.78,5.7
1165,15.9,3.18,278,374,3,36.8,1.76,2.76,11.06,6.6
1166,15,1.8,336,351,2,21.6,2.1,2.15,8.28,3.5
1167,15,3.04,319,362,3,41.4,0.93,1.04,10.75,7.399
1168,15.1,3.75,353,346,3.5,53.7,1.32,1.84,8.56,5.55
1169,15.2,3.1,326,369,2.5,29,1.02,1.06,12.3,5.5
1170,14.7,2.05,317,362,3,39.6,0.93,1.04,10.75,6.3144
1171,18.4,3.2,314,414,2.5,29.6,1.59,1.09,8.54,6.2
1172,19,3.3,394,279,4,57.3,0.93,1.58,6.09,4
1173,14.2,3.65,353,346,3.7,54.9,1.32,1.84,8.56,4.55
1174,14.2,4.8,459,368,3,38.8,0.66,1.42,9.01,4.8
1175,18.8,1.8,379,279,3.5,51.3,0.93,1.58,6.04,2.3
1176,16.2,3.2,464,371,2.5,43.4,0.72,1.49,9.77,4.4
1177,16,2.6,338,351,2.5,30,2.1,2.15,8.28,4.3
1178,14.4,3.06,274,374,3,35.6,1.76,2.76,11.06,5.4
1179,15.2,3.7,467,371,2.5,34,0.72,1.49,9.77,5.1
1180,16.7,3.9,464,371,2.5,37.2,0.72,1.49,9.77,4.8
1181,16.6,3.3,325,369,2.5,29.5,1.02,1.06,12.3,9
1182,16.4,1.8,374,279,3,44.5,0.93,1.58,6.09,2.5
1183,15.8,3.6,463,371,2.5,32.6,0.72,1.49,9.77,4.5
1184,13.4,3.8,463,368,3,52.4,0.66,1.42,9.01,3.8
1185,22,2,324,372,3,28.2,0.96,2.13,9.32,3.5
1186,12.4,3.3,403,357,3,70.9,0.97,1.41,7.21,5.65
1187,18.8,5.4,426,359,2.5,51.4,1.91,1.57,9.96,4.8
1188,15.2,2.2,336,351,2.5,31,2.1,2.15,8.28,4
1189,17.4,4.52,285,353,3,43,1.05,1.7,11.9,6.92
1190,15.5,3.28,277,374,3.5,44.2,1.76,2.76,11.06,7.2
1191,17.1,3.9,298,366,3,53.4,0.81,1.84,14.3,7.5
1192,15.3,3.24,324,337,2,31.3,1.18,1.52,10.82,4.712
1193,16.4,4.9,305,354,3.5,44.6,0.86,1.53,13.78,10.3
1194,15.6,2.8,323,375,2,29,2.17,2.52,8.19,5
1195,17,5.3,461,366,2.5,51.8,1.49,0.84,8.76,4.1
1196,28.4,4.2,305,354,3.5,48.2,0.86,1.53,13.78,7.6
1197,17.4,4.3,427,372,2.5,39.6,1.89,1.22,9.11,4.3
1198,15.1,3.4,291,379,3,43.5,0.99,1.09,11.11,7.6
1199,16.7,3.7,392,280,3.5,48.3,0.93,1.58,6.15,3.4
1200,16.5,5.3,470,371,2.5,47.8,0.72,1.49,9.77,5.8
1201,18,4,320,343,3,42.9,1.98,1.28,9.8,5.5
1202,14.7,1.1,340,351,2.5,20,2.1,2.15,8.28,2.7
1203,14.3,2.95,365,355,2,27,1.34,1.83,8.27,4.7
1204,23.1,2,327,367,4,37.2,1.02,1.07,12.31,5.3
1205,22.5,2,327,372,3,30,0.96,2.13,9.32,3.7
1206,15.3,3,321,343,2.7,40.9,1.98,1.28,9.8,5.7
1207,16.6,2.5,376,281,3.5,50.7,0.93,1.58,6.15,2.5
1208,17.1,4.2,408,321,3.7,55.1,0.97,1.41,7.21,4.05
1209,17,3.1,338,349,3.5,37.2,1.43,1.08,11.78,6.4
1210,16.2,2.4,395,280,3.5,51.1,0.93,1.58,6.09,2.6
1211,18.3,5,417,359,2.5,53.4,1.91,1.57,9.96,4.2
1212,15.7,4.1,362,299,3,46.1,1.61,1.19,10.43,3.8
1213,17,4.1,396,279,3,44.5,0.93,1.58,6.04,3.3
1214,19.4,2.2,333,349,2.7,40.5,3.62,2.63,9.14,4.05
1215,25.6,2.9,304,300,3,43.3,1.69,0.81,9.98,2.4
1216,14.7,2,323,360,3,24.8,0.96,2.13,9.32,3.5
1217,26.5,3.5,317,415,2.3,44.4,1.6,1.09,8.52,5.6
1218,24.1,2.6,321,371,3.5,39.6,2.15,2.51,8.28,3.5
1219,20.3,2.1,328,361,3,29.2,2.15,2.23,8.8,3
1220,15.7,2.64,317,362,4,39.4,0.93,1.04,10.75,5.8244
1221,33.8,3.2,427,359,2.5,65,1.91,1.57,9.96,3.4
1222,18,6.1,459,366,2.5,56.8,1.49,0.84,8.76,4.2
1223,12.9,2.7,320,375,2,27.8,2.17,2.52,8.19,3.7
1224,15.2,2.6,320,343,2.7,41.1,1.98,1.28,9.8,4.8
1225,24.9,5.1,295,361,4,59.4,1.29,1.54,11.22,6.7
1226,16.4,2.5,374,274,3.5,50.5,0.93,1.58,6.09,3.2
1227,17,2.2,375,280,3,45.1,0.93,1.58,6.09,2.8
1228,14.8,3.9,315,414,2.7,41.7,1.59,1.09,8.54,6.7
1229,16.3,6.5,463,219,3.5,62.4,1.49,0.84,8.76,2.3
1230,15.8,4.6,469,371,3,40.4,0.72,1.49,9.77,4.6
1231,15.7,2.66,321,366,3,45.1,0.99,1.07,10.15,5
1232,15.7,3,374,281,3.5,48.7,0.93,1.58,6.15,3.3
1233,15.4,3.3,336,351,3,27.4,2.1,2.15,8.28,3.6
1234,22.9,2.35,319,362,4,43,0.93,1.04,10.75,5.4896
1235,26.2,3.6,291,380,3.5,59,0.99,1.09,11.11,6.7
1236,16.7,5,479,363,2.5,28.6,1.67,1.09,9.02,6
1237,13.5,2.47,324,350,2.5,24.8,1.18,1.54,10.82,4.036
1238,16.8,2.8,336,351,3,33.8,2.1,2.15,8.28,3.9
1239,19.7,3.4,328,367,3,40,1.02,1.07,12.31,5.6
1240,24.5,2.6,325,371,3,38.4,2.15,2.51,8.28,3.7
1241,13.7,2.6,308,364,3.5,35.2,1.15,0.98,11.57,7.2
1242,14.6,2.2,397,279,3.5,53.1,0.93,1.58,6.09,2.4
1243,25.2,4.4,459,368,4,63.2,0.66,1.42,9.01,3.6
1244,20.1,2.2,394,273,2.5,37,0.96,1.18,6.14,3.1
1245,15.5,2.8,394,270,2.5,38.2,0.96,1.18,6.14,2.6
1246,18.5,3.2,325,375,2,37,2.17,2.52,8.19,5.1
1247,16.2,2.6,374,270,3.5,36.2,0.96,1.18,6.14,2.9
1248,14.9,2.8,306,364,3,36.8,1.15,0.98,11.57,7.1
1249,23.5,2.8,323,371,3.5,43.8,2.15,2.51,8.28,3.9
1250,17,3.07,281,374,4,44.2,1.76,2.76,11.06,5.9
1251,20.8,3.8,427,359,2.5,54,1.91,1.57,9.96,3.1
1252,17.1,5.9,458,366,2.5,45.3,1.49,0.84,8.76,4.9
1253,14.5,2,318,375,3.5,49.8,0.72,2.6,8.92,4.8
1254,12.8,4.4,353,346,3.5,52.3,1.32,1.84,8.56,4.95
1255,22.2,4.25,372,355,3.5,48.1,1.34,1.83,8.27,3.5
1256,21.9,3.18,323,367,3,47.8,0.99,1.07,10.15,4.41
1257,14.2,2.56,323,366,2.5,22.2,0.99,1.07,10.15,5.6
1258,12.8,4.6,460,368,3,36,0.66,1.42,9.01,4
1259,23.2,2.6,329,359,3,41.9,0.71,2.56,8.67,4.8
1260,15.8,2.3,308,364,3,36,1.15,0.98,11.57,5
1261,13.8,2.55,367,355,2.7,30,1.34,1.83,8.27,3.9
1262,17.7,2.8,282,353,3,44.7,2.39,2.98,10.05,5.3
1263,22.6,3.13,327,349,2.5,35.4,1.18,1.52,10.82,4.555
1264,17.3,2.1,372,274,3,43.3,0.93,1.58,6.09,2.8
1265,18.2,2.6,326,368,4,53.6,1.02,1.07,12.31,4
1266,15.7,5.3,477,363,2.5,38.2,1.67,1.09,9.02,5
1267,15.2,2.9,396,281,3.5,51.3,0.93,1.58,6.15,2.5
1268,19.5,3.24,312,365,3,44.3,2.46,3.13,10.22,5.01
1269,25.6,4.7,425,372,2.5,39.9,1.89,1.22,9.11,4.8
1270,18.3,3.3,298,331,3,36,2.95,2.16,9.49,6.5
1271,23.3,2.4,322,371,2.5,32.2,2.15,2.51,8.28,4
1272,14.3,3.6,320,343,2.5,40.3,1.98,1.28,9.8,6.6
1273,22.4,1.7,323,371,3,27.6,2.15,2.51,8.28,3.5
1274,23.7,3.2,396,274,4,60.9,0.93,1.58,6.15,3
1275,23.2,5.5,301,370,3,42.3,1.68,2.1,13.38,8.9
1276,20,2.57,278,374,4,34.6,1.76,2.76,11.06,5.2
1277,18.2,3.1,289,379,2,44.5,0.99,1.09,11.11,5.9
1278,14.9,2.4,297,373,3,44.5,1.8,2.54,8.43,4
1279,16.3,4.2,420,359,2.5,55,1.91,1.57,9.96,3.3
1280,16.8,3,333,359,3.5,52.1,0.71,2.56,8.67,4
1281,17.4,3.1,304,354,3,42.6,0.86,1.53,13.78,6.4
1282,22.2,3.3,301,331,3,32.5,2.95,2.16,9.49,5.8
1283,17.6,4,416,359,2.5,53.8,1.91,1.57,9.96,3.5
1284,17.1,2.4,376,279,3,42.7,0.93,1.58,6.09,2.7
1285,37.4,4.1,421,359,3,76.6,1.91,1.57,9.96,3.3
1286,18.8,4.8,421,359,2.5,55.6,1.91,1.57,9.96,4.5
1287,23,2.42,317,362,3,50,0.93,1.04,10.75,4.9578
1288,15.1,1.6,338,351,2.5,24,2.1,2.15,8.28,3.6
1289,16.7,3.5,423,372,2.5,42.6,1.89,1.22,9.11,4.2
1290,17.1,4.7,304,352,3,49.8,1.53,2.27,12.85,5.6
1291,17.2,4.5,477,363,2.5,38.2,1.67,1.09,9.02,5
1292,17,3,290,379,2.5,40.5,0.99,1.09,11.11,6.8
1293,14.7,2.6,374,273,1.5,29.8,0.96,1.18,6.14,3.3
1294,22.6,2.4,323,361,2.5,37,2.15,2.23,8.8,2.8
1295,21.8,1.7,325,361,3,27.4,2.15,2.23,8.8,2.5
1296,16,2.3,327,360,3.5,25.4,0.96,2.13,9.32,3.9
1297,16.4,6.5,463,219,2.5,50,1.49,0.84,8.76,2.5
1298,17,5,421,359,2.5,56.2,1.91,1.57,9.96,3.9
1299,26.5,5.6,465,366,2.5,60,1.49,0.84,8.76,3.7
1300,21.3,1.2,327,361,3,24,2.15,2.23,8.8,3
1301,15.8,2.8,339,349,3,34.8,1.43,1.08,11.78,6
1302,17.5,4,300,370,3,45.5,1.68,2.1,13.38,6.4
1303,18.3,1.9,326,372,2,24.8,0.96,2.13,9.32,3.7
1304,22.5,2.8,317,371,3,36.2,2.15,2.51,8.28,3.5
1305,24.7,3.7,424,372,2.5,45.8,1.89,1.22,9.11,3.9
1306,16.7,3.1,311,370,3,44.1,1.91,2.19,10.11,6.1129
1307,17.6,3.2,304,300,2.5,39.7,1.69,0.81,9.98,2.7
1308,15.5,3.7,306,388,3.5,35.6,1.02,0.84,11.96,9.3
1309,17.6,3.2,354,346,3.3,47.3,1.32,1.84,8.56,4.3
1310,27.8,3.6,442,371,3,41.7,0.89,1.14,7.35,5.6
1311,14,2.2,395,279,3,43.5,0.93,1.58,6.09,1.8
1312,15,3.5,297,370,3,43.9,1.68,2.17,13.4,6.1
1313,18.5,2.5,299,370,3.5,49.5,1.68,2.1,13.38,3.5
1314,16.3,5.8,460,368,3,45.4,0.66,1.42,9.01,5.1
1315,12.8,5.1,456,368,2.5,45,0.66,1.42,9.01,4.6
1316,16.8,4.6,412,359,2.5,60.8,1.91,1.57,9.96,3.3
1317,18.6,5.9,302,370,3,45.7,1.68,2.1,13.38,10
1318,15.9,2.82,323,366,2.5,20.6,0.99,1.07,10.15,4.07
1319,13.4,2,373,273,2.5,26,0.96,1.18,6.14,2.9
1320,23.7,3.42,314,369,4,56.7,2.47,3.12,10.22,5.043
1321,21.3,4.2,457,368,3,35.6,0.66,1.42,9.01,4.7
1322,16.5,4.9,461,219,2.5,52.8,1.49,0.84,8.76,2
1323,19.1,3.68,283,354,3,54,1.05,1.7,11.9,6.77
1324,15.4,4,422,359,2.5,50.4,1.91,1.57,9.96,3.2
1325,23,2.3,323,371,3,42.8,2.15,2.51,8.28,2.9
1326,16.7,3.1,317,343,2.5,40.2,1.98,1.28,9.8,6.2
1327,15.7,1.26,285,354,3,30,1.05,1.7,11.9,4.33
1328,24.5,3.8,290,361,3.5,52.4,1.29,1.54,11.22,5.49
1329,13.9,1.9,326,375,1.5,21.4,2.17,2.52,8.19,3.2
1330,22.5,5.7,300,370,3.3,46.7,1.68,2.1,13.38,7.6
1331,19,4.1,306,354,3.5,43.4,0.86,1.53,13.78,8
1332,22.9,2.6,333,359,3.5,48.9,0.71,2.56,8.67,4.6
1333,17.6,1.8,333,359,3.5,49.7,0.71,2.56,8.67,3.8
1334,16.6,4.2,417,359,3,63.8,1.91,1.57,9.96,3.1
1335,15.5,2.8,295,373,3,44.1,1.8,2.54,8.43,4.8
1336,16,3.2,306,364,3,33.8,1.15,0.98,11.57,8.5
1337,14.8,2.4,321,375,1.5,21.6,2.17,2.52,8.19,3.4
1338,16.2,2.8,342,348,3,29.4,1.42,1.05,11.78,5.7
1339,16.7,4.3,307,364,3,38.6,1.15,0.98,11.57,7.5
1340,16.8,4.4,420,359,2.5,53.2,1.91,1.57,9.96,4.3
1341,13.6,5.4,463,368,3.5,55.8,0.66,1.42,9.01,4.8
1342,23.9,3.1,334,359,3.5,47.9,0.71,2.56,8.67,5.6
1343,16.1,4.8,463,219,2.5,43.8,1.49,0.84,8.76,2.1
1344,21.7,1.3,324,372,2.5,24.6,0.96,2.13,9.32,3.5
1345,17.8,3.8,414,359,2.5,47.4,1.91,1.57,9.96,3.6
1346,22.2,3.2,398,270,3.5,37,0.96,1.18,6.14,2.8
1347,16.6,2.6,326,375,2.5,34,2.17,2.52,8.19,3.4
1348,17,3.7,294,361,3.5,37.8,1.29,1.54,11.22,7.49
1349,19.6,4.5,475,363,2.5,46.2,1.67,1.09,9.02,3.8
1350,15.3,1.5,321,359,3,21.6,0.96,2.17,9.29,3.1
1351,25.5,3.6,307,387,4.5,52,1.02,0.82,11.95,5.3
1352,15,2.7,308,364,3,40.6,1.15,0.98,11.57,5
1353,15.5,5.2,461,219,2.5,51,1.49,0.84,8.76,2.1
1354,15.4,3.1,352,346,3.3,46.4,1.32,1.84,8.56,3.75
1355,24.7,4,440,371,3.3,46.5,0.89,1.14,7.35,6
1356,16.7,4.05,402,321,2.7,40.7,0.97,1.41,7.21,3.75
1357,13.7,1.6,322,359,3,19.8,0.96,2.17,9.29,3.7
1358,18.2,4.4,300,365,3.3,55,0.81,1.84,14.3,8.5
1359,16,2.95,353,346,3.3,47.3,1.32,1.84,8.56,3.8
1360,14.7,2.5,307,364,3,41.4,1.15,0.98,11.57,5.8
1361,16.5,2.2,394,274,3,44.5,0.93,1.58,6.09,3.5
1362,12.8,4.9,461,368,3,50.6,0.66,1.42,9.01,4.9
1363,14.9,3,321,375,2,27,2.17,2.52,8.19,4
1364,18.5,2.2,298,331,3.3,27.5,2.95,2.16,9.49,4.3
1365,20,7.3,461,219,2.5,48.8,1.49,0.84,8.76,2.6
1366,27.5,2.9,338,349,3.7,55.1,3.62,2.63,9.14,4.05
1367,15.8,3.2,344,348,3.5,45.6,1.42,1.05,11.78,6.2
1368,16.4,3.3,339,352,3,28,2.1,2.15,8.28,4.2
1369,18.6,0.9,330,361,1,20.2,2.15,2.23,8.8,2.5
1370,20.3,3.43,324,367,2,40.8,0.99,1.07,10.15,3.95
1371,22.5,2.4,399,273,2.5,31,0.96,1.18,6.14,3.8
1372,17.7,4,437,371,2.3,39.5,0.89,1.14,7.35,5.8
